City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Saint George,US,72.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
203,Kapaa,US,75.52,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
205,Alyangula,AU,82.27,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
206,Faanui,PF,81.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
207,Aksha,RU,75.83,overcast clouds,50.2814,113.2867,Vizit
208,Marawi,PH,71.56,overcast clouds,7.9986,124.2928,Derogongan Residence
212,Quatre Cocos,MU,82.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
213,Itaituba,BR,71.44,overcast clouds,-4.2761,-55.9836,Hotel Campos
214,Carmen,MX,79.56,clear sky,18.6333,-91.8333,Hotel Lossandes
218,Labuhan,ID,83.7,scattered clouds,-6.8844,112.2051,DoubleFAG
219,Les Cayes,HT,74.53,few clouds,18.2,-73.75,Villa Orphee
220,Kualakapuas,ID,79.36,overcast clouds,-3.0091,114.3876,Guest House Izonk
228,Meulaboh,ID,75.6,overcast clouds,4.1363,96.1285,Kost Pria
229,Del Rio,US,73.8,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
231,Mandalgovi,MN,70.86,overcast clouds,45.7625,106.2708,В.Ганбат
233,Turan,VN,75.18,broken clouds,16.0678,108.2208,Grand Mercure Danang
235,Turayf,SA,89.85,broken clouds,31.6725,38.6637,Turaif
238,West Melbourne,US,76.91,scattered clouds,28.0717,-80.6534,"Hilton Melbourne, FL"
243,Bubaque,GW,77.68,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
245,Matara,LK,87.35,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
251,Alice Springs,AU,71.15,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
256,Dwarka,IN,86.65,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
