City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Katherine,AU,2022-05-02 07:59:34,-14.4667,132.2667,93.52,26,70,11.5
142,Bengkulu,ID,2022-05-02 07:59:35,-3.8004,102.2655,85.21,68,100,7.85
143,Lazaro Cardenas,MX,2022-05-02 07:59:35,17.9583,-102.2,72.1,79,83,4.34
144,Nanortalik,GL,2022-05-02 07:59:36,60.1432,-45.2371,34.57,93,100,1.25
145,Clyde River,CA,2022-05-02 07:59:36,70.4692,-68.5914,8.83,85,100,10.36
146,Belyy Yar,RU,2022-05-02 07:59:37,53.6039,91.3903,78.69,22,0,17.9
147,Sosnovo-Ozerskoye,RU,2022-05-02 07:59:37,52.5249,111.5418,64.8,30,99,16.46
148,East London,ZA,2022-05-02 07:59:38,-33.0153,27.9116,67.14,68,0,5.75
149,Biryusinsk,RU,2022-05-02 07:59:38,55.9634,97.8235,65.84,51,100,10.94
150,Alugan,PH,2022-05-02 07:59:39,12.2188,125.4808,83.28,69,29,7.34
151,Vestmanna,FO,2022-05-02 07:59:39,62.1564,-7.1664,36.52,70,100,11.5
152,Husavik,IS,2022-05-02 07:59:40,66.0449,-17.3389,28.17,63,100,3.98
153,Qingdao,CN,2022-05-02 07:59:40,36.0986,120.3719,69.4,23,0,15.66
154,Hobart,AU,2022-05-02 07:50:34,-42.8794,147.3294,66.06,55,75,12.66
155,Ambilobe,MG,2022-05-02 07:59:41,-13.2,49.05,87.78,59,93,2.46
156,Baghdad,IQ,2022-05-02 07:57:13,33.3406,44.4009,82.24,35,0,15.64
157,Bichura,RU,2022-05-02 07:59:42,50.5881,107.6022,77.29,15,55,8.23
158,Castro,BR,2022-05-02 07:59:42,-24.7911,-50.0119,59.95,89,82,1.05
159,Vila Franca Do Campo,PT,2022-05-02 07:59:43,37.7167,-25.4333,65.19,77,96,4.7
160,Arlit,NE,2022-05-02 07:59:43,18.7369,7.3853,91.09,7,8,10.94
161,Soma,TR,2022-05-02 07:59:44,39.1855,27.6094,61.93,62,100,8.77
162,Lavrentiya,RU,2022-05-02 07:59:44,65.5833,-171.0,6.67,92,14,9.84
163,Ribas Do Rio Pardo,BR,2022-05-02 07:59:45,-20.4431,-53.7592,71.53,59,65,3.74
